s,k,w,t.1,t.2,t.3,c.1,c.2,c.3
0.030927245980983287,2,2,0.13982243636577793,0.030927245980983287,0.05809779271773885,TRUE,TRUE,FALSE
0.02482985429866642,3,2,0.08820854385342518,0.20291189474663812,0.02482985429866642,TRUE,FALSE,TRUE
0.006609803145344817,2,2,0.36055520401628344,0.006609803145344817,0.01754205216638307,TRUE,TRUE,FALSE
0.03673462850066561,2,2,0.0750155921072917,0.03673462850066561,0.059966341108350064,FALSE,TRUE,TRUE
0.05615670880750878,3,2,0.07968551853606003,0.30801470220733496,0.05615670880750878,FALSE,TRUE,TRUE
0.006408078792160809,3,2,0.18092842704218373,0.17547069489687356,0.006408078792160809,TRUE,FALSE,TRUE
0.07401431578042554,1,2,0.07401431578042554,0.0877098810508451,0.19949962094373963,TRUE,TRUE,FALSE
0.02888994074165212,3,2,0.0541092450139371,0.047562529674076814,0.02888994074165212,TRUE,FALSE,TRUE
0.012063761395992235,3,2,0.23644602602051515,0.04374791143710571,0.012063761395992235,FALSE,TRUE,TRUE
0.009519696002083088,3,2,0.036957211775460706,0.03139829558519058,0.009519696002083088,FALSE,TRUE,TRUE
0.060930796346948,3,2,0.39461757385975665,0.06306601241239979,0.060930796346948,TRUE,FALSE,TRUE
0.011633271918498344,3,2,0.22522794743695948,0.03183155891273892,0.011633271918498344,FALSE,TRUE,TRUE
0.021845270540720385,3,2,0.27343771314370396,0.04757791854091664,0.021845270540720385,FALSE,TRUE,TRUE
0.014399234959830032,2,2,0.024370446682874247,0.014399234959830032,0.10587197393103027,TRUE,TRUE,FALSE
0.12149783550801171,3,2,0.3658610510979872,0.17873754888797877,0.12149783550801171,FALSE,TRUE,TRUE
0.003396936052680044,2,2,0.49103543998711013,0.003396936052680044,0.038252789026284706,FALSE,TRUE,TRUE
0.03009784875148509,3,2,0.26429657423468417,0.055423028466913715,0.03009784875148509,TRUE,FALSE,TRUE
0.005406995377287416,3,2,0.08369574824666952,0.04771818962192231,0.005406995377287416,TRUE,FALSE,TRUE
0.013920238902124607,1,2,0.013920238902124607,0.07268947354695565,0.06358865129033324,TRUE,TRUE,FALSE
0.021908437217188003,3,2,4.456609478343629,0.03281634228181807,0.021908437217188003,FALSE,TRUE,TRUE
0.008668651669170968,3,2,1.1405472816641293,0.24761816406482967,0.008668651669170968,TRUE,FALSE,TRUE
0.02395882324758275,2,2,0.06868253014751062,0.02395882324758275,0.18547160808911375,TRUE,TRUE,FALSE
0.015446540800363525,1,2,0.015446540800363525,0.39890975443123544,0.06367895975491789,TRUE,FALSE,TRUE
0.06507200559585569,2,2,0.10075492255249589,0.06507200559585569,0.09502733947358144,TRUE,TRUE,FALSE
0.08184597449470671,2,2,0.21569399384564591,0.08184597449470671,0.16452764564790295,TRUE,TRUE,FALSE
0.06178789981287278,3,2,2.9096503067309847,0.06534168716886729,0.06178789981287278,FALSE,TRUE,TRUE
0.030133395027716354,1,2,0.030133395027716354,0.35591738705940656,0.25095339306789394,TRUE,TRUE,FALSE
0.00982447051239943,2,2,0.4154276345472015,0.00982447051239943,0.018361836060711668,FALSE,TRUE,TRUE
0.049275392553671804,2,2,0.5362293807392229,0.049275392553671804,0.1519303997382985,FALSE,TRUE,TRUE
0.0011298972364890414,3,2,0.1351168803725975,0.28827968732765263,0.0011298972364890414,FALSE,TRUE,TRUE
0.07922940670399381,3,2,0.13860364372791442,0.08762899994656398,0.07922940670399381,FALSE,TRUE,TRUE
0.10940659311760542,2,2,0.6659119535309186,0.10940659311760542,0.1375417167337695,FALSE,TRUE,TRUE
0.003253046108069357,3,2,1.0748806486146398,0.19051251496579663,0.003253046108069357,TRUE,FALSE,TRUE
0.005451419079130648,3,2,1.1962424764699537,0.07412134256074782,0.005451419079130648,TRUE,FALSE,TRUE
0.002469379002560723,3,2,0.45574161963052173,0.003372022974747868,0.002469379002560723,FALSE,TRUE,TRUE
0.012167405420887567,3,2,0.01638715013300455,0.015507346452421689,0.012167405420887567,TRUE,FALSE,TRUE
0.011116295444558588,3,2,0.07191103375191384,0.07150840692715937,0.011116295444558588,TRUE,FALSE,TRUE
0.010099867030759269,3,2,0.09852009678461553,0.06684132183703667,0.010099867030759269,TRUE,FALSE,TRUE
2.752756976756772e-4,1,2,2.752756976756772e-4,0.00856482158314098,0.06419603613851596,TRUE,FALSE,TRUE
0.014007880122104854,3,2,0.025350802275346213,0.21425842159525876,0.014007880122104854,FALSE,TRUE,TRUE
0.030761345081946334,2,2,0.09063980750560326,0.030761345081946334,0.12468190603323955,FALSE,TRUE,TRUE
0.016899231037745953,3,2,0.1320438309127919,0.6514761331576701,0.016899231037745953,FALSE,TRUE,TRUE
0.05203854094001788,3,2,0.17998628650084844,0.45183346968912097,0.05203854094001788,TRUE,FALSE,TRUE
0.009017062426836465,3,2,0.21327556667528427,0.014216088080234834,0.009017062426836465,TRUE,FALSE,TRUE
0.06410627004134756,2,2,0.10138450471541738,0.06410627004134756,0.23195219122656702,TRUE,TRUE,FALSE
0.03635473989460928,1,2,0.03635473989460928,0.045228666023793995,0.09400154986736467,TRUE,FALSE,TRUE
0.01029020409950493,2,2,0.19447265393273594,0.01029020409950493,0.07236115131216883,FALSE,TRUE,TRUE
0.004355371815273301,3,2,0.19486233410175605,0.14265175867639457,0.004355371815273301,TRUE,FALSE,TRUE
0.0012357507040889153,1,2,0.0012357507040889153,0.3716270329710625,0.006540804351087681,TRUE,TRUE,FALSE
0.02818693682260016,3,2,0.575343767435708,0.10620721532100397,0.02818693682260016,FALSE,TRUE,TRUE
0.053696994877268665,3,2,0.3638259909863528,0.1675307526848061,0.053696994877268665,TRUE,FALSE,TRUE
6.468710606842842e-4,2,2,0.3872329786103985,6.468710606842842e-4,0.0196703451721858,TRUE,TRUE,FALSE
0.026007012562611776,3,2,0.14405051304656236,0.027743884391873863,0.026007012562611776,FALSE,TRUE,TRUE
0.05893513420247837,2,2,0.37210293174943976,0.05893513420247837,0.09723607274858734,TRUE,TRUE,FALSE
0.0018354709032454657,1,2,0.0018354709032454657,0.032679991480064674,0.1358754611475796,TRUE,TRUE,FALSE
0.0473104836314993,3,2,0.14804648166705872,0.2723133450102825,0.0473104836314993,FALSE,TRUE,TRUE
0.029143270315317292,3,2,0.1294884715876873,0.1026520305620523,0.029143270315317292,FALSE,TRUE,TRUE
0.04112505223718621,3,2,0.14451435471533877,0.29811798436243875,0.04112505223718621,TRUE,FALSE,TRUE
0.0032411369472562512,3,2,0.012089826176892767,0.1733073652031074,0.0032411369472562512,TRUE,FALSE,TRUE
0.02493757815915525,3,2,1.7933120384782517,0.37917227865196346,0.02493757815915525,TRUE,FALSE,TRUE
0.010353616931746745,2,2,0.03349189268729721,0.010353616931746745,0.11957591599155268,TRUE,TRUE,FALSE
6.396846544296064e-4,3,2,0.08487335229103883,0.0014812500905392878,6.396846544296064e-4,TRUE,FALSE,TRUE
0.015382030173301494,1,2,0.015382030173301494,0.15452604409350096,0.03659493086681413,TRUE,TRUE,FALSE
0.023371222900663024,3,2,0.2647372512528297,0.043111973214238763,0.023371222900663024,FALSE,TRUE,TRUE
0.016544502414620642,3,2,0.20718266880620403,0.04520247443934877,0.016544502414620642,FALSE,TRUE,TRUE
0.019310265720077303,3,2,0.3748315137337652,0.07343180585718095,0.019310265720077303,TRUE,FALSE,TRUE
0.012811774006483746,3,2,0.09330911697068596,0.914685677141793,0.012811774006483746,FALSE,TRUE,TRUE
0.058497349263724005,3,2,0.7084910280411446,0.11273174754027165,0.058497349263724005,TRUE,FALSE,TRUE
0.047658197297244076,2,2,0.1008715061273296,0.047658197297244076,0.13647787444931292,TRUE,TRUE,FALSE
0.0067968596101695145,1,2,0.0067968596101695145,0.0341486051748261,0.02353045788445187,TRUE,FALSE,TRUE
0.05054343193530162,3,2,0.25002105857712925,0.0532375573777939,0.05054343193530162,FALSE,TRUE,TRUE
0.019227363125332353,3,2,0.02081093160296284,0.10272119360419835,0.019227363125332353,FALSE,TRUE,TRUE
0.025429399929279894,2,2,0.06791615308974149,0.025429399929279894,0.05592145180912578,TRUE,TRUE,FALSE
0.0070587201067060954,3,2,0.057920344833839156,0.12634217716419283,0.0070587201067060954,FALSE,TRUE,TRUE
0.002395315093404571,2,2,0.5926047964159697,0.002395315093404571,0.008280928301299761,FALSE,TRUE,TRUE
0.0028733424624701074,3,2,0.15514164294103158,0.09172566086847428,0.0028733424624701074,TRUE,FALSE,TRUE
0.10946661885235529,3,2,0.17110738776470336,0.32413127932511265,0.10946661885235529,TRUE,FALSE,TRUE
0.03175163580379477,3,2,0.16223213872294914,0.03237951699527852,0.03175163580379477,TRUE,FALSE,TRUE
0.00812023668519859,3,2,0.4519997169376249,0.0499787481871839,0.00812023668519859,TRUE,FALSE,TRUE
0.10708528871181794,2,2,0.419739927650995,0.10708528871181794,0.1519647134937844,TRUE,TRUE,FALSE
0.054179831584391144,3,2,0.14507521247466468,0.06464693889105466,0.054179831584391144,FALSE,TRUE,TRUE
0.04228218561925634,1,2,0.04228218561925634,0.0603637334546126,0.24018672143650646,TRUE,FALSE,TRUE
0.03683732841254702,1,2,0.03683732841254702,0.05172961251484337,0.07332650372772598,TRUE,FALSE,TRUE
0.011622701531940649,3,2,0.21739392649417563,0.1282143006923877,0.011622701531940649,FALSE,TRUE,TRUE
0.009337338955526641,3,2,0.0878995994231851,0.02580216852775108,0.009337338955526641,TRUE,FALSE,TRUE
0.009690023897445287,3,2,0.5166931944604799,0.10577960599568487,0.009690023897445287,FALSE,TRUE,TRUE
7.683021613741348e-4,2,2,0.11136950183214352,7.683021613741348e-4,0.09764018424317245,TRUE,TRUE,FALSE
0.011813868067254197,3,2,1.874539215464656,0.15013241909240516,0.011813868067254197,FALSE,TRUE,TRUE
0.117747102170825,3,2,0.14799904806395428,1.2044061438220808,0.117747102170825,FALSE,TRUE,TRUE
0.04102301946870318,2,2,0.25802428583394116,0.04102301946870318,0.1605476126136077,TRUE,TRUE,FALSE
0.016305547952635502,2,2,0.0827517780033719,0.016305547952635502,0.164307518232841,TRUE,TRUE,FALSE
0.05652380254028455,3,2,0.12252970233618139,0.2539375995334383,0.05652380254028455,TRUE,FALSE,TRUE
0.00944943536549454,3,2,0.47971469283782237,0.03799117453899992,0.00944943536549454,TRUE,FALSE,TRUE
0.0168329868576504,3,2,0.18964532807018575,0.10590082586643096,0.0168329868576504,TRUE,FALSE,TRUE
0.0016144199004664462,3,2,0.17131650580332494,0.1732012324471594,0.0016144199004664462,TRUE,FALSE,TRUE
0.06720770325623752,3,2,0.2451459590705638,0.1059234456557428,0.06720770325623752,TRUE,FALSE,TRUE
0.01667823634093759,3,2,1.3447510666077884,0.10079684404020628,0.01667823634093759,FALSE,TRUE,TRUE
7.061918412216706e-4,1,2,7.061918412216706e-4,0.02737245303061886,0.037571971037810535,TRUE,FALSE,TRUE
0.01606659516514699,3,2,5.399843254005798,0.08737624100037689,0.01606659516514699,FALSE,TRUE,TRUE
0.025208488275590614,3,2,0.6796661496274817,0.06029353181432273,0.025208488275590614,FALSE,TRUE,TRUE
0.016812505661076928,3,2,1.505959298626286,0.06088039696358549,0.016812505661076928,FALSE,TRUE,TRUE
0.02142807725149387,2,2,0.08841664195463543,0.02142807725149387,0.12455330913606093,TRUE,TRUE,FALSE
0.002196282410373618,3,2,0.3233701697100541,0.005953469016222845,0.002196282410373618,TRUE,FALSE,TRUE
1.0629999525062495e-4,3,2,0.10225154394256901,0.185014586829635,1.0629999525062495e-4,FALSE,TRUE,TRUE
0.022668606306999035,1,2,0.022668606306999035,0.11887293316386194,0.1717310549105592,TRUE,TRUE,FALSE
0.01523573151442631,2,2,0.4281212991575476,0.01523573151442631,0.10849803576230976,FALSE,TRUE,TRUE
0.017759046052256623,3,2,0.37350185893419113,0.038376009302836245,0.017759046052256623,TRUE,FALSE,TRUE
0.10517659338968037,1,2,0.10517659338968037,0.1156447503046849,0.13209595181640638,TRUE,TRUE,FALSE
0.01788536500952609,1,2,0.01788536500952609,0.025744224849116093,0.023126589962510602,TRUE,FALSE,TRUE
0.006402024112579019,3,2,0.11599096502249091,0.11244250353452695,0.006402024112579019,FALSE,TRUE,TRUE
0.03855356597499193,2,2,0.07496803524300628,0.03855356597499193,0.09319592971448439,FALSE,TRUE,TRUE
0.03269153960414606,2,2,0.2759622610512272,0.03269153960414606,0.22868806496837993,FALSE,TRUE,TRUE
0.008505420128955965,3,2,0.2167908140535597,0.05569081223011901,0.008505420128955965,FALSE,TRUE,TRUE
0.01435094019569938,3,2,0.04042599203090166,0.38614785144936326,0.01435094019569938,TRUE,FALSE,TRUE
0.009550760809701585,3,2,0.17634932846997442,0.04266229067088151,0.009550760809701585,FALSE,TRUE,TRUE
0.01446796232766856,2,2,0.07384426383306357,0.01446796232766856,0.06873830074664596,TRUE,TRUE,FALSE
0.011982566166773123,2,2,0.1988938684452135,0.011982566166773123,0.05597264466931708,TRUE,TRUE,FALSE
0.034767419516530285,2,2,0.45134074256317885,0.034767419516530285,0.09603201648902364,FALSE,TRUE,TRUE
0.030185428757360022,2,2,0.17061269784977603,0.030185428757360022,0.068149224808887,TRUE,TRUE,FALSE
2.901317835706241e-4,1,2,2.901317835706241e-4,0.040004984202841154,0.01079233332841798,TRUE,FALSE,TRUE
0.029733030912726877,3,2,0.1276513230629969,0.07798830568131093,0.029733030912726877,FALSE,TRUE,TRUE
2.5159803815086865e-4,3,2,0.4281478650009595,0.20568270682014156,2.5159803815086865e-4,FALSE,TRUE,TRUE
0.03167507028664335,2,2,0.0981158534926639,0.03167507028664335,0.04739233925679098,FALSE,TRUE,TRUE
0.019212620428746496,2,2,0.19698560488078778,0.019212620428746496,0.20273131711245176,TRUE,TRUE,FALSE
0.002566591696909981,3,2,0.0052535130751301855,0.07579262718462676,0.002566591696909981,FALSE,TRUE,TRUE
0.010777269467560135,2,2,0.03673617960256411,0.010777269467560135,0.18865816530223273,TRUE,TRUE,FALSE
0.005221982012342308,2,2,0.5467878738529087,0.005221982012342308,0.021009991172579533,FALSE,TRUE,TRUE
0.020486465661691166,3,2,0.14537794216817365,0.05364678120373839,0.020486465661691166,FALSE,TRUE,TRUE
0.0026628140016177193,2,2,0.7188338262558998,0.0026628140016177193,0.05883985264006335,FALSE,TRUE,TRUE
0.013477646481444727,2,2,0.2355093918079688,0.013477646481444727,0.04338429528827734,TRUE,TRUE,FALSE
0.01439642753517396,3,2,0.4568650768458869,0.09963814315953157,0.01439642753517396,FALSE,TRUE,TRUE
0.04442070277730892,2,2,0.5961354266736733,0.04442070277730892,0.09136743269141774,TRUE,TRUE,FALSE
0.014045957112707041,3,2,0.35591262487407577,0.05107811825976022,0.014045957112707041,TRUE,FALSE,TRUE
0.007539589729598362,3,2,1.4291749051738496,0.12548289572936627,0.007539589729598362,FALSE,TRUE,TRUE
0.001968946661022042,2,2,0.6161539824539211,0.001968946661022042,0.049950069751530046,TRUE,TRUE,FALSE
0.02302213194773257,3,2,0.305626313147708,0.03420766131427533,0.02302213194773257,FALSE,TRUE,TRUE
0.09873692395709277,3,2,0.16852288857655143,0.5709596476272197,0.09873692395709277,TRUE,FALSE,TRUE
0.023854101462619237,3,2,0.6812724591613203,0.028187490758963374,0.023854101462619237,TRUE,FALSE,TRUE
5.436179684074283e-4,3,2,0.17864697192810017,0.04918336562178932,5.436179684074283e-4,TRUE,FALSE,TRUE
0.019404636184069048,3,2,0.4237554421745225,0.06809353845126714,0.019404636184069048,FALSE,TRUE,TRUE
0.04230879371362811,2,2,0.645270980524325,0.04230879371362811,0.05560735999963904,TRUE,TRUE,FALSE
0.007557841310572177,3,2,0.30886534097785684,0.08921230318138701,0.007557841310572177,TRUE,FALSE,TRUE
0.016350725468942163,3,2,0.05682100256586442,0.08974581060884307,0.016350725468942163,TRUE,FALSE,TRUE
8.5618926293346e-4,2,2,0.45924966813524276,8.5618926293346e-4,0.01749307794253361,TRUE,TRUE,FALSE
0.002475482488783376,3,2,0.01952693138887603,0.2147328446247475,0.002475482488783376,TRUE,FALSE,TRUE
0.0188003547375451,2,2,0.05396701781952847,0.0188003547375451,0.10591926700986302,TRUE,TRUE,FALSE
0.030803572490017306,3,2,0.23691342391227152,0.10778681098448972,0.030803572490017306,FALSE,TRUE,TRUE
0.017605953895564908,2,2,0.043653493175103884,0.017605953895564908,0.04819617608285607,TRUE,TRUE,FALSE
0.011075415134529453,3,2,0.3825286577315012,0.6231739148702398,0.011075415134529453,TRUE,FALSE,TRUE
0.028224853879716905,2,2,0.5925599852177298,0.028224853879716905,0.12657082024236424,FALSE,TRUE,TRUE
0.0045229889088086676,3,2,0.1839791513638601,0.11908518208500413,0.0045229889088086676,FALSE,TRUE,TRUE
0.06674581553758896,2,2,0.4162977838750896,0.06674581553758896,0.36808636484290186,TRUE,TRUE,FALSE
0.0016113987982724343,3,2,0.03676706269979061,0.003209209934618762,0.0016113987982724343,FALSE,TRUE,TRUE
0.003483263275595716,3,2,0.29511951992532,0.14735237508926546,0.003483263275595716,FALSE,TRUE,TRUE
0.06310395232737331,2,2,0.48959693911545116,0.06310395232737331,0.3813487966962561,FALSE,TRUE,TRUE
0.004426799118348794,1,2,0.004426799118348794,0.022633467237956673,0.15247136402663197,TRUE,FALSE,TRUE
0.021694599479553545,2,2,0.11691758301653372,0.021694599479553545,0.07893084094905287,FALSE,TRUE,TRUE
0.05408264949398482,3,2,0.10837029186176454,0.1696558129841933,0.05408264949398482,TRUE,FALSE,TRUE
0.0930908493460143,2,2,0.391001953314367,0.0930908493460143,0.17136522791989658,TRUE,TRUE,FALSE
0.004073652683509188,3,2,0.21382505310007036,0.08884267693472381,0.004073652683509188,TRUE,FALSE,TRUE
0.020586192902668776,2,2,0.20067678437977232,0.020586192902668776,0.0330098045246288,TRUE,TRUE,FALSE
